Census Tract,Walk Score
Bluff,82
Golden Triangle/Civic Arena,100
Strip District,83
Crawford-Roberts,77
Terrace Village,71
North Oakland,82
Central Oakland,78
Central Oakland,75
South Oakland,68
Middle Hill,60
Upper Hill,74
Bedford Dwellings,77
Terrace Village,58
Terrace Village,62
Lower Lawrenceville,91
Polish Hill,88
Shadyside,91
Shadyside,88
Shadyside,77
Shadyside,88
Shadyside,89
Bloomfield,82
Bloomfield,86
Bloomfield,82
Friendship,86
Bloomfield,86
Central Lawrenceville,72
Central Lawrenceville,86
Bloomfield,86
Stanton Heights,29
Upper Lawrenceville,49
Morningside,40
Garfield,52
Garfield,66
Stanton Heights,28
Highland Park,54
Highland Park,51
East Liberty,63
Garfield,69
East Liberty,86
Lincoln-Lemington-Belmar,37
Larimer,60
Homewood West,68
Larimer,75
Homewood North,38
Homewood North,57
Homewood South,71
Homewood South,62
East Hills,32
Squirrel Hill North,66
Squirrel Hill North,72
Squirrel Hill North,80
North Oakland,54
Central Oakland,72
Central Oakland,68
Squirrel Hill South,88
Regent Square,71
Swisshelm Park,35
Squirrel Hill South,80
Squirrel Hill South,43
Greenfield,48
Greenfield,63
South Side Slopes,65
South Side Flats,75
South Side Flats,85
Shadyside,65
Allentown,63
Friendship,65
Bloomfield,77
Duquesne Heights,40
Mount Washington,71
Mount Washington,45
Beechview,37
Brookline,29
Brookline,51
Brookline,65
Beechview,57
Sheraden,48
Banksville,48
Manchester,68
Central Northside,89
Central Oakland,68
Spring Garden,54
Central Northside,83
California Kirkbride,58
Bedford Dwellings,54
Perry North,26
Perry North,29
Northview Heights,23
Summer Hill,9
Perry South,49
Perry South,40
Spring Hill Ð City View,49
Brighton Heights,48
Brighton Heights,55
Marshall-Shadeland,48
Brighton Heights,43
Marshall-Shadeland,45
Crafton Heights,28
Crafton Heights,37
Carrick,48
Carrick,49
Carrick,65
Knoxville,58
Lincoln Place,20
Bluff,2
Overbrook,57
Brookline,40
Overbrook,42
Harrison Twp,35
Harrison Twp,37
Harrison Twp,26
Brackenridge,35
Tarentum,71
East Deer,9
Frazer Twp,3
Fawn Twp,0
West Deer Twp,6
West Deer Twp,3
Richland Twp,23
Richland Twp,23
Pine Township,2
Bradford Woods,12
Marshall,11
Franklin Park,12
Franklin Park,5
McCandless Twp  ,11
